Epoch 165/450, Loss: 903.6710
Epoch 166/450, Loss: 891.4030
Epoch 167/450, Loss: 923.5890
Epoch 168/450, Loss: 899.9746
Epoch 169/450, Loss: 906.8143
Epoch 170/450, Loss: 914.2828
Epoch 171/450, Loss: 884.3804
Epoch 172/450, Loss: 904.3915
Epoch 173/450, Loss: 888.0539
Epoch 174/450, Loss: 901.5455
Epoch 175/450, Loss: 899.4656
Epoch 176/450, Loss: 901.0728
Epoch 177/450, Loss: 908.6402
Epoch 178/450, Loss: 896.1766
Epoch 179/450, Loss: 894.0225
Epoch 180/450, Loss: 875.8029
Epoch 181/450, Loss: 898.2053
Epoch 182/450, Loss: 894.5290
Epoch 183/450, Loss: 891.3096
Epoch 184/450, Loss: 897.5274
Epoch 185/450, Loss: 900.0869
Epoch 186/450, Loss: 899.7815
Epoch 187/450, Loss: 891.1205
Epoch 188/450, Loss: 889.4290
Epoch 189/450, Loss: 879.6544
Epoch 190/450, Loss: 886.5141
Epoch 191/450, Loss: 890.8240
Epoch 192/450, Loss: 885.3267
Epoch 193/450, Loss: 878.8858
Epoch 194/450, Loss: 885.9569
Epoch 195/450, Loss: 891.8046
Epoch 196/450, Loss: 895.7662
Epoch 197/450, Loss: 885.6739
Epoch 198/450, Loss: 895.0979
Epoch 199/450, Loss: 882.8710
Epoch 200/450, Loss: 872.5175
Epoch 201/450, Loss: 887.0310
Epoch 202/450, Loss: 895.3582
Epoch 203/450, Loss: 887.6011
Epoch 204/450, Loss: 893.2146
Epoch 205/450, Loss: 889.5038
Epoch 206/450, Loss: 892.5799
Epoch 207/450, Loss: 888.2477
Epoch 208/450, Loss: 890.4327
Epoch 209/450, Loss: 886.4867
Epoch 210/450, Loss: 883.7632
Epoch 211/450, Loss: 883.6648
Epoch 212/450, Loss: 887.6365
Epoch 213/450, Loss: 877.2998
Epoch 214/450, Loss: 886.4783
Epoch 215/450, Loss: 876.9835
Epoch 216/450, Loss: 886.5515
Epoch 217/450, Loss: 890.4227
Epoch 218/450, Loss: 881.6321
Epoch 219/450, Loss: 883.2359
Epoch 220/450, Loss: 887.3195
Epoch 221/450, Loss: 878.9330
Epoch 222/450, Loss: 864.9454
Epoch 223/450, Loss: 881.3776
Epoch 224/450, Loss: 888.6745
Epoch 225/450, Loss: 877.6710
Epoch 226/450, Loss: 866.5586
Epoch 227/450, Loss: 872.1886
Epoch 228/450, Loss: 877.9783
Epoch 229/450, Loss: 862.2120
Epoch 230/450, Loss: 875.8505
Epoch 231/450, Loss: 881.5355
Epoch 232/450, Loss: 871.6984
Epoch 233/450, Loss: 869.3074
Epoch 234/450, Loss: 867.1690
Epoch 235/450, Loss: 860.7507
Epoch 236/450, Loss: 873.4983
Epoch 237/450, Loss: 871.9503
Epoch 238/450, Loss: 878.2771
Epoch 239/450, Loss: 862.6191
Epoch 240/450, Loss: 850.5516
Epoch 241/450, Loss: 865.0571
Epoch 242/450, Loss: 869.7972
Epoch 243/450, Loss: 864.7473
Epoch 244/450, Loss: 874.5722
Epoch 245/450, Loss: 866.4333
Epoch 246/450, Loss: 850.4086
Epoch 247/450, Loss: 863.3095
Epoch 248/450, Loss: 872.1589
Epoch 249/450, Loss: 873.0939
Epoch 250/450, Loss: 867.7049
Epoch 251/450, Loss: 869.3416
Epoch 252/450, Loss: 868.7509
Epoch 253/450, Loss: 863.0715
Epoch 254/450, Loss: 866.8080
Epoch 255/450, Loss: 877.8974
Epoch 256/450, Loss: 855.8851
Epoch 257/450, Loss: 856.6726
Epoch 258/450, Loss: 855.4515
Epoch 259/450, Loss: 855.6740
Epoch 260/450, Loss: 846.0597
Epoch 261/450, Loss: 873.3835
Epoch 262/450, Loss: 862.6278
Epoch 263/450, Loss: 863.6032
Epoch 264/450, Loss: 860.8455
Epoch 265/450, Loss: 853.6420
Epoch 266/450, Loss: 867.3574
Epoch 267/450, Loss: 857.1768
Epoch 268/450, Loss: 858.5882
Epoch 269/450, Loss: 864.5183
Epoch 270/450, Loss: 855.4297
Epoch 271/450, Loss: 881.4601
Epoch 272/450, Loss: 862.3700
Epoch 273/450, Loss: 855.3187
Epoch 274/450, Loss: 863.5329
Epoch 275/450, Loss: 865.3148
Epoch 276/450, Loss: 858.1856
Epoch 277/450, Loss: 859.8898
Epoch 278/450, Loss: 854.7841
Epoch 279/450, Loss: 862.5253
Epoch 280/450, Loss: 858.9773
Epoch 281/450, Loss: 863.0605
Epoch 282/450, Loss: 851.3310
Epoch 283/450, Loss: 866.3444
Epoch 284/450, Loss: 865.9822
Epoch 285/450, Loss: 859.2468
Epoch 286/450, Loss: 858.2147
Epoch 287/450, Loss: 850.8192
Epoch 288/450, Loss: 859.7487
Epoch 289/450, Loss: 868.1058
Epoch 290/450, Loss: 860.1834
Epoch 291/450, Loss: 849.0895
Epoch 292/450, Loss: 860.4136
Epoch 293/450, Loss: 851.4559
Epoch 294/450, Loss: 853.9388
Epoch 295/450, Loss: 870.2258
Epoch 296/450, Loss: 852.7863
Epoch 297/450, Loss: 853.4569
Epoch 298/450, Loss: 837.9901
Epoch 299/450, Loss: 851.3740
Epoch 300/450, Loss: 849.4087
Epoch 301/450, Loss: 853.4290
Epoch 302/450, Loss: 841.5168
Epoch 303/450, Loss: 844.7567
Epoch 304/450, Loss: 841.7030
Epoch 305/450, Loss: 845.7653
Epoch 306/450, Loss: 846.7069
Epoch 307/450, Loss: 854.4357
Epoch 308/450, Loss: 855.2406
Epoch 309/450, Loss: 844.8853
Epoch 310/450, Loss: 842.9490
Epoch 311/450, Loss: 850.3862
Epoch 312/450, Loss: 841.7237
Epoch 313/450, Loss: 855.6020
Epoch 314/450, Loss: 850.9657
Epoch 315/450, Loss: 852.8158
Epoch 316/450, Loss: 852.9815
Epoch 317/450, Loss: 836.3550
Epoch 318/450, Loss: 843.0234
Epoch 319/450, Loss: 852.3309
Epoch 320/450, Loss: 835.6205
Epoch 321/450, Loss: 860.8298
Epoch 322/450, Loss: 841.0836
Epoch 323/450, Loss: 859.0312
Epoch 324/450, Loss: 835.2811
Epoch 325/450, Loss: 844.6694
Epoch 326/450, Loss: 849.8684
Epoch 327/450, Loss: 838.0790
Epoch 328/450, Loss: 851.4167
Epoch 329/450, Loss: 840.3954
Epoch 330/450, Loss: 841.1713
Epoch 331/450, Loss: 836.7571
Epoch 332/450, Loss: 839.2614
Epoch 333/450, Loss: 845.4388
Epoch 334/450, Loss: 846.3492
Epoch 335/450, Loss: 848.8583
Epoch 336/450, Loss: 838.4671
Epoch 337/450, Loss: 832.1550
Epoch 338/450, Loss: 836.8562
Epoch 339/450, Loss: 837.3173
Epoch 340/450, Loss: 848.5749
Epoch 341/450, Loss: 844.8377
Epoch 342/450, Loss: 846.2499
Epoch 343/450, Loss: 840.9225
Epoch 344/450, Loss: 822.8528
Epoch 345/450, Loss: 836.1450
Epoch 346/450, Loss: 834.0131
Epoch 347/450, Loss: 843.1356
Epoch 348/450, Loss: 848.7266
Epoch 349/450, Loss: 820.2054
Epoch 350/450, Loss: 830.9340
Epoch 351/450, Loss: 833.6044
Epoch 352/450, Loss: 843.8391
Epoch 353/450, Loss: 836.1880
Epoch 354/450, Loss: 822.3102
Epoch 355/450, Loss: 832.3226
Epoch 356/450, Loss: 840.7328
Epoch 357/450, Loss: 836.3974
Epoch 358/450, Loss: 829.3020
Epoch 359/450, Loss: 831.3160
Epoch 360/450, Loss: 848.5275
Epoch 361/450, Loss: 828.2446
Epoch 362/450, Loss: 835.2881
Epoch 363/450, Loss: 829.3691
Epoch 364/450, Loss: 840.9606
Epoch 365/450, Loss: 836.4846
Epoch 366/450, Loss: 841.2235
Epoch 367/450, Loss: 839.0082
Epoch 368/450, Loss: 841.1986
Epoch 369/450, Loss: 830.5703
Epoch 370/450, Loss: 830.3290
Epoch 371/450, Loss: 842.6833
Epoch 372/450, Loss: 826.7002
Epoch 373/450, Loss: 838.6976
Epoch 374/450, Loss: 839.6715
Epoch 375/450, Loss: 832.4135
Epoch 376/450, Loss: 838.1460
Epoch 377/450, Loss: 838.8251
Epoch 378/450, Loss: 832.9133
Epoch 379/450, Loss: 827.1727
Epoch 380/450, Loss: 826.2683
Epoch 381/450, Loss: 815.0810
Epoch 382/450, Loss: 817.7446
Epoch 383/450, Loss: 820.1166
Epoch 384/450, Loss: 823.5585
Epoch 385/450, Loss: 838.2496
Epoch 386/450, Loss: 828.8819
Epoch 387/450, Loss: 832.5855
Epoch 388/450, Loss: 812.4549
Epoch 389/450, Loss: 839.2656
Epoch 390/450, Loss: 813.5629
Epoch 391/450, Loss: 819.3312
Epoch 392/450, Loss: 824.1343
Epoch 393/450, Loss: 834.2242
Epoch 394/450, Loss: 819.9112
Epoch 395/450, Loss: 825.4192
Epoch 396/450, Loss: 822.6790
Epoch 397/450, Loss: 817.6891
Epoch 398/450, Loss: 823.8141
Epoch 399/450, Loss: 832.6543
Epoch 400/450, Loss: 821.4715
Epoch 401/450, Loss: 811.6459
Epoch 402/450, Loss: 828.8028
Epoch 403/450, Loss: 828.0471
Epoch 404/450, Loss: 826.6793
Epoch 405/450, Loss: 820.6163
Epoch 406/450, Loss: 824.6229
Epoch 407/450, Loss: 810.9111
Epoch 408/450, Loss: 826.7817
Epoch 409/450, Loss: 832.2252
Epoch 410/450, Loss: 811.9768
Epoch 411/450, Loss: 834.5379
Epoch 412/450, Loss: 806.3734
Epoch 413/450, Loss: 823.8684
Epoch 414/450, Loss: 810.9252
Epoch 415/450, Loss: 821.8049
Epoch 416/450, Loss: 825.5062
Epoch 417/450, Loss: 821.9325
Epoch 418/450, Loss: 813.9290
Epoch 419/450, Loss: 809.7354
Epoch 420/450, Loss: 815.3696
Epoch 421/450, Loss: 817.8712
Epoch 422/450, Loss: 816.4558
Epoch 423/450, Loss: 823.0975
Epoch 424/450, Loss: 815.6756
Epoch 425/450, Loss: 821.1946
Epoch 426/450, Loss: 802.4252
Epoch 427/450, Loss: 812.4463
Epoch 428/450, Loss: 813.4615
Epoch 429/450, Loss: 811.7684
Epoch 430/450, Loss: 817.5063
Epoch 431/450, Loss: 811.2989
Epoch 432/450, Loss: 828.8620
Epoch 433/450, Loss: 812.5144
Epoch 434/450, Loss: 811.6885
Epoch 435/450, Loss: 810.8650
Epoch 436/450, Loss: 817.0813
Epoch 437/450, Loss: 807.2783
Epoch 438/450, Loss: 810.4677
Epoch 439/450, Loss: 823.0146
Epoch 440/450, Loss: 808.4408
Epoch 441/450, Loss: 810.8268
Epoch 442/450, Loss: 818.2618
Epoch 443/450, Loss: 821.3803
Epoch 444/450, Loss: 822.0395
Epoch 445/450, Loss: 816.0757
Epoch 446/450, Loss: 819.6989
Epoch 447/450, Loss: 818.4048
Epoch 448/450, Loss: 825.7283
Epoch 449/450, Loss: 809.6389
Epoch 450/450, Loss: 814.6758
Epoch 1/450, Loss: 1736.8694
Epoch 2/450, Loss: 1691.8263
Epoch 3/450, Loss: 1649.0066
Epoch 4/450, Loss: 1620.3855
Epoch 5/450, Loss: 1596.7727
Epoch 6/450, Loss: 1579.4492
Epoch 7/450, Loss: 1554.3400
Epoch 8/450, Loss: 1551.7727
Epoch 9/450, Loss: 1530.2172
Epoch 10/450, Loss: 1515.6969
Epoch 11/450, Loss: 1512.5200
Epoch 12/450, Loss: 1503.9301
Epoch 13/450, Loss: 1482.1587
Epoch 14/450, Loss: 1475.6955
Epoch 15/450, Loss: 1460.1934
Epoch 16/450, Loss: 1441.5810
Epoch 17/450, Loss: 1430.8937
Epoch 18/450, Loss: 1413.9684
Epoch 19/450, Loss: 1394.2259
Epoch 20/450, Loss: 1368.6207
Epoch 21/450, Loss: 1353.3935
Epoch 22/450, Loss: 1326.6905
Epoch 23/450, Loss: 1313.0610
Epoch 24/450, Loss: 1307.4617
Epoch 25/450, Loss: 1294.4031
Epoch 26/450, Loss: 1267.8839
Epoch 27/450, Loss: 1272.1554
Epoch 28/450, Loss: 1255.2131
Epoch 29/450, Loss: 1237.6047
Epoch 30/450, Loss: 1238.0976
Epoch 31/450, Loss: 1228.7962
Epoch 32/450, Loss: 1213.5239
Epoch 33/450, Loss: 1206.8058
Epoch 34/450, Loss: 1213.7830
Epoch 35/450, Loss: 1204.8103
Epoch 36/450, Loss: 1183.8753
Epoch 37/450, Loss: 1181.0005
Epoch 38/450, Loss: 1180.0279
Epoch 39/450, Loss: 1175.7459
Epoch 40/450, Loss: 1169.7544
Epoch 41/450, Loss: 1162.3148
Epoch 42/450, Loss: 1166.7698
Epoch 43/450, Loss: 1152.8820
Epoch 44/450, Loss: 1144.5774
Epoch 45/450, Loss: 1144.1141
Epoch 46/450, Loss: 1131.2746
Epoch 47/450, Loss: 1142.6164
Epoch 48/450, Loss: 1112.8015
Epoch 49/450, Loss: 1122.6916
Epoch 50/450, Loss: 1117.2447
Epoch 51/450, Loss: 1101.0279
Epoch 52/450, Loss: 1083.3838
Epoch 53/450, Loss: 1096.0139
Epoch 54/450, Loss: 1077.9828
Epoch 55/450, Loss: 1093.4376
Epoch 56/450, Loss: 1084.0018
Epoch 57/450, Loss: 1068.0565
Epoch 58/450, Loss: 1075.2990
Epoch 59/450, Loss: 1068.0569
Epoch 60/450, Loss: 1078.2510
Epoch 61/450, Loss: 1069.2699
Epoch 62/450, Loss: 1055.6412
Epoch 63/450, Loss: 1062.1486
Epoch 64/450, Loss: 1041.5869
Epoch 65/450, Loss: 1045.1728
Epoch 66/450, Loss: 1046.9922
Epoch 67/450, Loss: 1048.2432
Epoch 68/450, Loss: 1041.5762
Epoch 69/450, Loss: 1034.2858
Epoch 70/450, Loss: 1032.5744
Epoch 71/450, Loss: 1040.3917
Epoch 72/450, Loss: 1028.8238
Epoch 73/450, Loss: 1021.1197
Epoch 74/450, Loss: 1033.4925
Epoch 75/450, Loss: 1027.5366
Epoch 76/450, Loss: 1023.9644
Epoch 77/450, Loss: 1012.6037
Epoch 78/450, Loss: 1024.5312
Epoch 79/450, Loss: 1007.1513
Epoch 80/450, Loss: 1022.5689
Epoch 81/450, Loss: 1011.1458
